SENTENCE,TEXT,POS,POS_GROUPED
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",O,NOUN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",Zouhaur,PROPN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",Atif,PROPN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",",",PUNCT,PUNCT
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",o,ADP,FUNC
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",zoeno,ADV,ADV
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",arrestou,ADJ,ADJ
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",pe,DET,PRON
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",avei,NOUN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",ammassou,PROPN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",o,ADP,FUNC
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",Abanoud,PROPN,NOUN
"O Zouhaur Atif, o zoeno arrestou pe avei ammassou o Abanoud Youssef inte unna scheua à Spezza, o l’à ammisso d’aveilo fæto pe giöxia: «O no doveiva scangiâse quelle fotografie co-a mæ galante».",Youssef,PROPN,NOUN
