TEXT,POS_GROUPED
O,PRON,
Zouhaur,NOUN,
Atif,NOUN,
",",PUNCT,
o,PRON,
zoeno,NOUN,
arrestou,VERB,
pe,FUNC,
avei,VERB,
ammassou,VERB,
o,PRON,
Abanoud,NOUN,
Youssef,NOUN,
inte,FUNC,
unna,PRON,
scheua,NOUN,
à,FUNC,
Spezza,NOUN,
",",PUNCT,
o,PRON,
l,PRON,
’,PUNCT
à,VERB,
ammisso,VERB,
d,FUNC,
’,PUNCT,
aveilo,VERB,
fæto,VERB,
pe,FUNC,
giöxia,NOUN,
:,PUNCT,
«,PUNCT,
O,PRON,
no,FUNC,
doveiva,VERB,
scangiâse,VERB,
quelle,ADJ,
fotografie,NOUN,
co-a,FUNC,
mæ,ADJ,
galante,NOUN,
»,PUNCT,
.,PUNCT,
A,PRON,
figgia,NOUN,
e,FUNC,
a,PRON,
vittima,NOUN,
se,FUNC,
conosceivan,VERB,
da,FUNC,
figgeu,NOUN,
.,PUNCT,
«,PUNCT,
Aiva,VERB,
fæto,VERB,
o,PRON,
poscibile,NOUN,
perché,FUNC,
no,FUNC,
rattellessan,VERB,
»,PUNCT,
",",PUNCT,
a,PRON,
l,PRON,
’,PUNCT,
à,VERB,
scrito,VERB,
lê,PRON,
in,FUNC,
sce,FUNC,
un,PRON,
social,NOUN,
.,PUNCT,
O,PRON,
Atif,NOUN,
o,PRON,
l,PRON,
’,PUNCT,
arresta,VERB,
in,FUNC,
prexon,NOUN,
e,FUNC,
oua,FUNC,
o,PRON,
reisega,VERB,
d,FUNC,
’,PUNCT,
ëse,VERB,
accaxonou,VERB,
da,FUNC,
premeditaçion,NOUN,
.,PUNCT,
A-i,FUNC,
22,ADJ,
de,FUNC,
zenâ,NOUN,
",",PUNCT,
giornâ,NOUN,
de,FUNC,
desmuo,NOUN,
da,FUNC,
çittæ,NOUN,
",",PUNCT,
çentanæa,ADJ,
de,FUNC,
persoñe,NOUN,
an,VERB,
parteçipou,VERB,
a-o,FUNC,
morteuio,NOUN,
crestian,ADJ,
into,FUNC,
dòmmo,NOUN,
.,PUNCT,
Da,FUNC,
l,FUNC,
’,PUNCT,
autopscia,NOUN,
l,PRON,
’,PUNCT,
é,VERB,
vegnuo,VERB,
feua,ADV,
che,FUNC,
o,PRON,
Abanoud,NOUN,
o,PRON,
l,PRON,
’,PUNCT,
é,VERB,
mòrto,VERB,
pe,FUNC,
unna,PRON,
cotellâ,NOUN,
sola,ADJ,
ch,FUNC,
’,PUNCT,
a,VERB,
gh,PRON,
’,PUNCT,
à,VERB,
dannezzou,VERB,
o,PRON,
figæto,NOUN,
",",PUNCT,
a,PRON,
minsa,NOUN,
e,FUNC,
un,PRON,
pormon,NOUN,
.,PUNCT,
A,PRON,
Procua,NOUN,
de,FUNC,
Zena,NOUN,
a,PRON,
l,PRON,
’,PUNCT,
à,VERB,
ciammou,VERB,
o,PRON,
fallimento,NOUN,
de,FUNC,
l,PRON,
’,PUNCT,
Amt,NOUN,
",",PUNCT,
l,PRON,
’,PUNCT,
açienda,NOUN,
ch,PRON,
’,PUNCT,
a,VERB,
gestisce,VERB,
o,PRON,
traspòrto,NOUN,
pubrico,ADJ,
",",PUNCT,
trovandoghe,VERB,
200,ADJ,
mioin,NOUN,
e,FUNC,
passa,ADV,
de,FUNC,
debiti,NOUN,
.,PUNCT,
O,PRON,
papê,NOUN,
o,PRON,
l,PRON,
’,PUNCT,
é,VERB,
vegnuo,VERB,
feua,ADV,
oua,ADV,
",",PUNCT,
ma,FUNC,
o,PRON,
l,PRON,
’,PUNCT,
é,VERB,
di,FUNC,
9,ADJ,
de,FUNC,
dexembre,NOUN,
",",PUNCT,
avanti,ADV,
che,FUNC,
o,PRON,
Tribunâ,NOUN,
o,PRON,
l,PRON,
’,PUNCT,
approvesse,VERB,
a,PRON,
compoxiçion,NOUN,
negoçiâ,ADJ,
da,FUNC,
crixi,NOUN,
co-e,FUNC,
mesue,NOUN,
che,FUNC,
mettan,VERB,
a,PRON,,
soçietæ,NOUN,
a-o,FUNC,
sosto,NOUN,
.,PUNCT,
«,PUNCT,
Se,FUNC,
no,FUNC,
avescimo,VERB,
fæto,VERB,
ninte,PRON,
a,PRON,
saieiva,VERB,
fallia,VERB,
»,PUNCT,
",",PUNCT,
o,PRON,
commento,NOUN,
da,FUNC,
scindica,NOUN,
Silvia,NOUN,
Salis,NOUN,
.,PUNCT,
«,PUNCT,
A,PRON,
l,PRON,
’,PUNCT,
addeuvia,VERB,
i,PRON,
problemi,NOUN,
de,FUNC,
l,FUNC,
’,PUNCT,
Amt,NOUN,
pe,FUNC,
fâ,VERB,
da,FUNC,
propaganda,NOUN,
»,PUNCT,
",",PUNCT,
gh,PRON,
’,PUNCT,
à,VERB,
respòsto,VERB,
o,PRON,
Pietro,NOUN,
Piciocchi,NOUN,
.,PUNCT,
Intanto,ADV,
a,PRON,
Procua,NOUN,
a,PRON,
l,PRON,
’,PUNCT,
à,VERB,
inscrito,VERB,
i,PRON,
primmi,ADJ,
indagæ,VERB,
pe,FUNC,
fäso,ADJ,
inti,FUNC,
conti,NOUN,
e,FUNC,
bancarotta,NOUN,
de,FUNC,
sfrouxo,NOUN,
",",PUNCT,
graçie,ADV,
anche,FUNC,
a-a,FUNC,
relaçion,NOUN,
presentâ,VERB,
da-o,FUNC,
Commun,NOUN,
co-a,FUNC,
scituaçion,NOUN,
finançiäia,ADJ,
de,FUNC,
l,PRON,
’,PUNCT,
açienda,NOUN,
.,PUNCT,
A,PRON,
Procua,NOUN,
de,FUNC,
Zena,NOUN,
a,PRON,
l,PRON,
’,PUNCT,
à,VERB,
averto,VERB,
unn,PRON,
’,PUNCT,
investigaçion,NOUN,
in,FUNC,
sciâ,FUNC,
mòrte,NOUN,
do,FUNC,
Giampiero,NOUN,
Antonio,NOUN,
Garrido,NOUN,
Yanez,NOUN,
",",PUNCT,
mòrto,VERB,
de,FUNC,
30,ADJ,
anni,NOUN,
a-i,FUNC,
22,ADJ,
de,FUNC,
zenâ,NOUN,
tanto,ADV,
ch,FUNC,
’,PUNCT,
o,PRON,
zugava,VERB,
à,FUNC,
ballon,NOUN,
in,FUNC,
sce,FUNC,
un,PRON,
campo,NOUN,
de,FUNC,
Sestri,NOUN,
Ponente,NOUN,
.,PUNCT,
Tutt,ADV,
’,PUNCT,
assemme,ADJ,
o,PRON,
s,PRON,
’,PUNCT,
é,VERB,
arreversou,VERB,
in,FUNC,
tæra,NOUN,
",",PUNCT,
i,PRON,
meghi,NOUN,
an,VERB,
çercou,VERB,
de,FUNC,
sarvâlo,VERB,
ma,FUNC,
no,FUNC,
gh,PRON,
’,PUNCT,
é,VERB,
stæto,VERB,
ninte,PRON,
da,FUNC,
fâ,VERB,
.,PUNCT,
O,PRON,
pm,NOUN,
Giuseppe,NOUN,
Longo,NOUN,
o,PRON,
l,PRON,
’,PUNCT,
à,VERB,
commandou,VERB,
l,PRON,
’,PUNCT,
autopscia,NOUN,
.,PUNCT,
O,PRON,
Garrido,NOUN,
o,PRON,
gh,PRON,
’,PUNCT,
aiva,VERB,
a,PRON,
tessia,NOUN,
do,FUNC,
Recreativo,NOUN,
",",PUNCT,
in,FUNC,
segonda,ADJ,
categoria,NOUN,
",",PUNCT,
ma,FUNC,
o,PRON,
zugava,VERB,
ascì,ADV,
inte,FUNC,
unna,PRON,
squaddra,NOUN,
inscrita,VERB,
à,FUNC,
un,PRON,
torneo,NOUN,
Aics,NOUN,
",",PUNCT,
Sotto,ADV,
il,PRON,
Pontos,NOUN,
Fc,OTHER,
.,PUNCT,
O,PRON,
seu,ADJ,
mego,NOUN,
o,PRON,
gh,PRON,
’,PUNCT,
aiva,VERB,
conseggiou,VERB,
de,FUNC,
no,FUNC,
fâ,VERB,
de,FUNC,
l,PRON,
’,PUNCT,
attivitæ,NOUN,
sportiva,ADJ,
pe,FUNC,
di,FUNC,
problemi,NOUN,
de,FUNC,
sanitæ,NOUN,
.,PUNCT,
A,PRON,
Procua,NOUN,
a,PRON,
veu,VERB,
capî,VERB,
se,FUNC,
gh,PRON,
’,PUNCT,
ea,VERB,
stæto,VERB,
i,PRON,
açertamenti,NOUN,
obrigatöi,ADJ,
pe,FUNC,
parteçipâ,VERB,
.,PUNCT,
Stradde,NOUN,
deruæ,ADJ,
",",PUNCT,
case,NOUN,
e,FUNC,
buteghe,NOUN,
piñe,ADJ,
d,FUNC,
’,PUNCT,
ægua,NOUN,
",",PUNCT,
ciazze,NOUN,
portæ,VERB,
via,NOUN,
.,PUNCT,
Son,VERB,
i,PRON,
guasti,NOUN,
caxonæ,VERB,
da-o,FUNC,
çiclon,NOUN,
Harry,NOUN,
into,FUNC,
Sud,ADJ,
Italia,NOUN,
",",PUNCT,
sorviatutto,ADV,
Siçilia,NOUN,
e,FUNC,
Calabria,NOUN,
",",PUNCT,
ma,FUNC,
anche,ADV,
a,PRON,
Sardegna,NOUN,
",",PUNCT,
corpie,VERB,
da,FUNC,
di,PRON,
mouxi,NOUN,
erti,ADJ,
fin,ADV,
à,FUNC,
16,ADJ,
metri,NOUN,
e,FUNC,
passa,ADV,
",",PUNCT,
mai,ADV,
registræ,VERB,
into,FUNC,
passou,NOUN,
inte,FUNC,
tutto,ADJ,
o,PRON,
Mediterraneo,NOUN,
.,PUNCT,
Inte,FUNC,
provinse,NOUN,
de,FUNC,
Mesciña,NOUN,
e,FUNC,
Catania,NOUN
o,PRON,
mâ,NOUN,
o,PRON,
l,PRON,
’,PUNCT,
à,VERB,
destruto,VERB,
ferrovie,NOUN,
",",PUNCT,
mæñe,NOUN,
",",PUNCT,
miage,NOUN,
e,FUNC,
portixeu,NOUN,
.,PUNCT,
Dexeñe,NOUN,
de,FUNC,
famigge,NOUN,
son,VERB,
stæte,VERB,
scorrie,VERB,
d,FUNC,
’,PUNCT,
in,FUNC,
cà,NOUN,
.,PUNCT,
Segondo,FUNC,
unna,PRON,
primma,ADJ,
stimma,NOUN,
do,FUNC,
prescidente,NOUN,
da,FUNC,
Region,NOUN,
Renato,NOUN,
Schifani,NOUN,
i,PRON,
danni,NOUN,
van,VERB,
740,ADJ,
mioin,NOUN,
d,FUNC,
’,PUNCT,
euro,NOUN,
",",PUNCT,
e,FUNC,
atre,ADJ,
çentanæa,NOUN,
de,FUNC,
mioin,NOUN,
se,FUNC,
contan,VERB,
in,FUNC,
Sardegna,NOUN,
",",PUNCT,
segondo,FUNC,
a,PRON,
prescidente,NOUN,
Alessandra,NOUN,
Todde,NOUN,
